# ta-tb(ns)	counts	error
-3828749.937500	0	0.000000
-3828749.812500	0	0.000000
-3828749.687500	0	0.000000
-3828749.562500	0	0.000000
-3828749.437500	0	0.000000
-3828749.312500	0	0.000000
-3828749.187500	0	0.000000
-3828749.062500	0	0.000000
-3828748.937500	0	0.000000
-3828748.812500	0	0.000000
-3828748.687500	1	1.000000
-3828748.562500	0	0.000000
-3828748.437500	0	0.000000
-3828748.312500	0	0.000000
-3828748.187500	0	0.000000
-3828748.062500	0	0.000000
-3828747.937500	0	0.000000
-3828747.812500	0	0.000000
-3828747.687500	1	1.000000
-3828747.562500	1	1.000000
-3828747.437500	0	0.000000
-3828747.312500	0	0.000000
-3828747.187500	0	0.000000
-3828747.062500	0	0.000000
-3828746.937500	0	0.000000
-3828746.812500	0	0.000000
-3828746.687500	0	0.000000
-3828746.562500	0	0.000000
-3828746.437500	0	0.000000
-3828746.312500	0	0.000000
-3828746.187500	0	0.000000
-3828746.062500	0	0.000000
-3828745.937500	0	0.000000
-3828745.812500	0	0.000000
-3828745.687500	0	0.000000
-3828745.562500	0	0.000000
-3828745.437500	0	0.000000
-3828745.312500	1	1.000000
-3828745.187500	1	1.000000
-3828745.062500	1	1.000000
-3828744.937500	0	0.000000
-3828744.812500	1	1.000000
-3828744.687500	0	0.000000
-3828744.562500	0	0.000000
-3828744.437500	0	0.000000
-3828744.312500	0	0.000000
-3828744.187500	0	0.000000
-3828744.062500	0	0.000000
-3828743.937500	0	0.000000
-3828743.812500	1	1.000000
-3828743.687500	0	0.000000
-3828743.562500	2	1.414214
-3828743.437500	0	0.000000
-3828743.312500	0	0.000000
-3828743.187500	0	0.000000
-3828743.062500	0	0.000000
-3828742.937500	0	0.000000
-3828742.812500	0	0.000000
-3828742.687500	0	0.000000
-3828742.562500	0	0.000000
-3828742.437500	0	0.000000
-3828742.312500	0	0.000000
-3828742.187500	0	0.000000
-3828742.062500	0	0.000000
-3828741.937500	0	0.000000
-3828741.812500	0	0.000000
-3828741.687500	0	0.000000
-3828741.562500	0	0.000000
-3828741.437500	0	0.000000
